Filename, Line #, TypeChef-Type, .\busybox_1_28_0_clang.json-Type
hush.c, 3959, Dead store, Dead store
vi.c, 1358, Dead store, Dead store
nmeter.c, 747, Uninitialized memory, Logic error
fuser.c, 156, Uninitialized memory, Logic error
ls.c, 533, Dead store, Logic error
hush.c, 5102, Dead store, Dead store
kill.c, 205, Dead store, Dead store
awk.c, 2381, Uninitialized memory, Logic error
fuser.c, 159, Uninitialized memory, Logic error
hush.c, 3949, Dead store, Dead store
ash.c, 9230, Uninitialized memory, Logic error
awk.c, 2465, Uninitialized memory, Logic error
devfsd.c, 616, Dead store, Dead store
hush.c, 6179, Check stdlibfunc return, API
ipaddress.c, 709, Uninitialized memory, Logic error
hush.c, 4246, Dead store, Dead store
ipcrm.c, 149, Dead store, Dead store
hush.c, 3916, Dead store, Dead store
vi.c, 1672, Check stdlibfunc return, API
dd.c, 563, Xfree, Memory error
hush.c, 3961, Dead store, Dead store
gzip.c, 2221, Dead store, Dead store
modutils.c, 27, Uninitialized memory, Logic error
hush.c, 4544, Dead store, Dead store
awk.c, 2424, Uninitialized memory, Logic error
devfsd.c, 628, Dead store, Dead store
tty.c, 48, Dead store, Dead store
ash.c, 2282, Double free, Memory error
cat.c, 190, Dead store, Dead store
lsscsi.c, 87, Dead store, Dead store
hush.c, 5299, Dead store, Dead store
lzo1x_9x.c, 869, Dead store, Dead store
awk.c, 2369, Uninitialized memory, Logic error
hush.c, 5659, Dead store, Dead store
hush.c, 10108, Dead store, Dead store
awk.c, 2361, Uninitialized memory, Logic error
hush.c, 4701, Case termination, Dead store
hush.c, 5128, Dead store, Dead store
hdparm.c, 1979, Uninitialized memory, Logic error
hush.c, 5279, Dead store, Dead store
hush.c, 5170, Dead store, Dead store
bbunzip.c, 158, Uninitialized memory, Logic error
awk.c, 2333, Uninitialized memory, Logic error
hush.c, 3925, Dead store, Dead store
lineedit.c, 324, Dead store, Dead store
awk.c, 2457, Uninitialized memory, Logic error
hush.c, 3972, Dead store, Dead store
inetd.c, 1636, Dead store, Dead store
runsv.c, 293, Uninitialized memory, Logic error
awk.c, 2345, Uninitialized memory, Logic error
tty.c, 47, Dead store, Dead store
hush.c, 3912, Dead store, Dead store
mdev.c, 413, Uninitialized memory, Dead store
awk.c, 2436, Uninitialized memory, Logic error
fsck_minix.c, 791, Dead store, Dead store
vi.c, 1140, Dead store, Dead store
awk.c, 2428, Dead store, Logic error
awk.c, 2441, Uninitialized memory, Logic error
man.c, 171, Check stdlibfunc return, Dead store
awk.c, 2401, Uninitialized memory, Logic error
fdisk.c, 2522, Uninitialized memory, Logic error
devfsd.c, 680, Dead store, Dead store
hush.c, 4667, Dead store, Dead store
telnetd.c, 266, Dead store, Dead store
awk.c, 2373, Uninitialized memory, Logic error
awk.c, 2303, Uninitialized memory, Logic error
less.c, 553, Dead store, Dead store
ipaddress.c, 726, Dead store, Dead store
awk.c, 2365, Uninitialized memory, Logic error
devfsd.c, 906, Uninitialized memory, Dead store
read_key.c, 206, Dead store, Dead store
fdisk.c, 2482, Uninitialized memory, Logic error
awk.c, 2461, Uninitialized memory, Logic error
inetd.c, 1364, Dead store, Dead store
hush.c, 5124, Dead store, Dead store
awk.c, 2033, Dead store, Dead store
ash.c, 3743, Dead store, Dead store
lzo1x_9x.c, 790, Dead store, Dead store
devfsd.c, 1734, Dead store, Dead store
vi.c, 1106, Dead store, Dead store
ash.c, 5888, Dead store, Dead store
vi.c, 1095, Dead store, Dead store
nmeter.c, 412, Dead store, Dead store
vi.c, 1133, Dead store, Dead store
awk.c, 2344, Uninitialized memory, Logic error
nmeter.c, 915, Dead store, Dead store
dpkg.c, 602, Dead store, Dead store
lpr.c, 63, Uninitialized memory, Dead store
vi.c, 2943, Dead store, Dead store
awk.c, 2331, Uninitialized memory, Logic error
dpkg.c, 1922, Double free, Logic error
awk.c, 2316, Uninitialized memory, Logic error
ash.c, 11461, Dead store, Dead store
awk.c, 2440, Uninitialized memory, Logic error
ed.c, 803, Dead store, Dead store
awk.c, 2400, Uninitialized memory, Logic error
less.c, 1140, Dead store, Dead store
hush.c, 4663, Dead store, Dead store
awk.c, 2387, Uninitialized memory, Logic error
hush.c, 5315, Dead store, Dead store
ash.c, 5887, Dead store, Dead store
lzo1x_9x.c, 822, Dead store, Dead store
gzip.c, 2223, Dead store, Dead store
awk.c, 2377, Uninitialized memory, Logic error
hdparm.c, 2053, Uninitialized memory, Logic error
hush.c, 7388, Check stdlibfunc return, API
vi.c, 2946, Dead store, Dead store
hush.c, 8369, Dead store, Dead store
vi.c, 1099, Dead store, Dead store
